"stn","mean.density","sd.density","n","lat","lon"
"ADPT-1",0.50939156,0.204694519170316,4,27.58,-93.69
"ADPT-2",0.81847476975,0.60707368020643,4,27.32,-94.46
"GOMECC-1/SEAMAP-B221",40.08948545,55.8349106389028,5,29,-95
"GOMECC-2/SEAMAP-B223",3.54764851433333,3.96592219509143,6,28.08,-95
"GOMECC-3",8.6246672374,4.84767705134796,5,27.33,-95
"SEAMAP-B217",2.3920559994,1.55153253522232,5,28,-94.5
"SEAMAP-B218",2.22141826425,2.75206273376652,4,28.5,-94.5
"SEAMAP-B219",9.9262227968,11.6863293759108,5,29,-94.5
"SEAMAP-B220",10.761565835,13.9192263939796,5,29.5,-94.5
"SEAMAP-B222",2.91777188333333,3.3771068275386,6,28.5,-95
